City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cape Town,ZA,-33.9258,18.4232,67.12,37,0,15.37,clear sky
80,Matanzas,CU,23.0411,-81.5775,74.16,94,40,8.68,scattered clouds
81,Hasaki,JP,35.7333,140.8333,73.8,79,100,2.13,overcast clouds
82,Jalingo,NG,8.8833,11.3667,75.38,92,100,3.78,overcast clouds
83,Anadyr,RU,64.75,177.4833,45.1,61,40,7.72,light rain
84,Qaqortoq,GL,60.7167,-46.0333,54.1,86,100,5.32,overcast clouds
85,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,9.08,heavy intensity rain
86,Pangnirtung,CA,66.1451,-65.7125,27.18,92,92,3.8,overcast clouds
87,Ferme-Neuve,CA,46.7001,-75.4493,76.78,95,100,4.68,overcast clouds
88,Kijang,KR,35.2442,129.2139,80.33,52,0,9.8,clear sky
89,Port Lincoln,AU,-34.7333,135.8667,64.47,57,13,27.45,few clouds
90,Sola,VU,-13.8833,167.55,80.51,73,49,13.8,scattered clouds
91,Beringovskiy,RU,63.05,179.3167,34.39,99,100,4.43,light rain
92,Stornoway,GB,58.2093,-6.3865,49.96,93,100,10.36,overcast clouds
93,Halifax,CA,44.6453,-63.5724,67.89,84,100,3.44,overcast clouds
94,Port Augusta,AU,-32.5,137.7667,64.54,37,0,26.04,clear sky
95,Marsh Harbour,BS,26.5412,-77.0636,78.91,80,100,15.77,overcast clouds
96,Upernavik,GL,72.7868,-56.1549,35.8,83,21,4.65,few clouds
97,Tarko-Sale,RU,64.9225,77.785,42.01,69,30,1.99,scattered clouds
98,Tessalit,ML,20.1986,1.0114,91.15,11,0,7.58,clear sky
99,Raudeberg,NO,61.9875,5.1352,51.87,85,15,8.43,few clouds
100,Parabel,RU,58.6978,81.4825,52.99,77,100,8.93,overcast clouds
101,Hithadhoo,MV,-0.6,73.0833,82.98,72,9,12.21,clear sky
102,Ayan,RU,56.45,138.1667,42.26,89,96,4.32,overcast clouds
103,Chalchihuites,MX,23.4833,-103.8833,72.81,29,96,10.78,overcast clouds
104,Tasiilaq,GL,65.6145,-37.6368,39.36,89,94,3.6,overcast clouds
105,Wegrow,PL,52.3995,22.0163,60.6,89,99,5.86,overcast clouds
106,Ust-Tsilma,RU,65.441,52.1498,39.6,62,53,8.59,broken clouds
107,Iqaluit,CA,63.7506,-68.5145,33.53,86,75,5.99,broken clouds
108,Vestmannaeyjar,IS,63.4427,-20.2734,47.73,90,100,20.67,overcast clouds
109,Castro,BR,-24.7911,-50.0119,59.65,73,100,3.51,moderate rain
110,Dekar,BW,-21.5333,21.9333,45.39,65,0,8.1,clear sky
111,Shieli,KZ,44.1667,66.75,81.3,40,0,3.31,clear sky
112,Deputatskiy,RU,69.3,139.9,48.69,46,82,11.01,broken clouds
113,Ancud,CL,-41.8697,-73.8203,52.23,87,100,16.26,light rain
114,Juneau,US,58.3019,-134.4197,57.2,84,75,3.0,light rain
115,Kiunga,PG,-6.1219,141.2906,82.62,78,96,4.72,overcast clouds
116,Neiafu,TO,-18.65,-173.9833,83.08,69,75,8.05,broken clouds
117,North Bend,US,43.4065,-124.2243,64.94,68,90,12.66,overcast clouds
118,West Wendover,US,40.7391,-114.0733,88.81,11,1,3.44,clear sky
119,Esperance,AU,-33.8667,121.9,58.84,60,100,25.28,overcast clouds
120,Rockhampton,AU,-23.3833,150.5,73.29,40,0,11.5,clear sky
121,Arlit,NE,18.7369,7.3853,90.91,13,87,8.75,overcast clouds
122,Qaanaaq,GL,77.484,-69.3632,39.76,73,58,6.15,broken clouds
123,Vilhena,BR,-12.7406,-60.1458,69.91,70,52,2.64,light rain
124,Lavrentiya,RU,65.5833,-171.0,35.02,87,91,5.46,overcast clouds
125,Yulara,AU,-25.2406,130.9889,60.64,41,48,2.3,scattered clouds
126,Ystad,SE,55.4297,13.8204,59.14,61,1,6.98,clear sky
127,Gat,IL,31.61,34.7642,67.41,78,0,1.74,clear sky
128,Flinders,AU,-34.5833,150.8552,64.18,68,99,1.99,overcast clouds
129,Magadan,RU,59.5667,150.8,49.33,74,50,6.69,scattered clouds
130,Narsaq,GL,60.9167,-46.05,53.82,76,100,2.51,overcast clouds
131,Hirara,JP,24.8,125.2833,80.87,83,75,13.8,broken clouds
132,Puerto Ayora,EC,-0.7393,-90.3518,71.55,96,32,5.99,light rain
133,Avarua,CK,-21.2078,-159.775,75.25,69,90,5.75,light rain
134,Sorland,NO,67.667,12.6934,50.43,96,100,6.24,light rain
135,Port Hardy,CA,50.6996,-127.4199,57.38,67,75,3.44,light rain
136,Chokurdakh,RU,70.6333,147.9167,42.31,58,79,5.99,broken clouds
137,Xingcheng,CN,40.6167,120.7167,70.02,65,100,6.82,moderate rain
138,Bom Jesus,BR,-9.0744,-44.3586,71.11,43,100,1.16,overcast clouds
139,Maniitsoq,GL,65.4167,-52.9,38.64,93,100,8.57,overcast clouds
140,Kavieng,PG,-2.5744,150.7967,83.77,69,12,5.46,light rain
141,Sagar,IN,23.8333,78.7167,84.34,49,98,12.01,overcast clouds
142,Black River,JM,18.0264,-77.8487,82.4,78,6,3.36,clear sky
143,Mahebourg,MU,-20.4081,57.7,73.69,83,40,9.22,light rain
144,Saskylakh,RU,71.9167,114.0833,42.66,47,100,7.05,overcast clouds
145,Cardenas,CU,23.0375,-81.2047,74.16,86,76,12.26,light rain
146,Ambunti,PG,-4.2365,142.8448,79.66,89,87,3.13,overcast clouds
147,Domna,RU,51.8971,113.1573,59.16,58,20,3.65,few clouds
148,Nantucket,US,41.2835,-70.0995,75.31,83,1,12.66,clear sky
149,Shimoda,JP,34.6667,138.95,78.17,87,100,2.55,overcast clouds
